;cpi;lci;exp1;exp10;energy_cpi;food_cpi;vu;shortage;productivity;fiscal
2000-07-01;173,600;86,1723684;3,17411850;2,98901660;129,200;168,900;0,922256;5;72,59;-1,469321338
2000-10-01;174,600;86,9000000;3,16729860;2,87612270;130,100;170,000;0,919544;5;73,353;3,308708352
2001-01-01;176,100;87,6000000;2,14224460;2,49868750;131,700;171,700;0,82688;5;72,937;2,58487452
2001-04-01;177,700;88,4000000;2,75118420;2,84530510;136,900;173,100;0,70602;5;74,195;2,934434066
2001-07-01;178,100;89,2000000;3,11522630;2,74902670;130,900;174,200;0,60394;5;74,613;1,773249469
2001-10-01;177,400;90,0000000;2,73137530;2,63934620;113,900;174,700;0,46583;5;75,555;1,87578747
2002-01-01;178,500;90,7000000;2,01387700;2,70465510;117,600;176,100;0,43508;5;77,135;-0,157206226
2002-04-01;179,600;91,6000000;2,34192540;2,73036860;121,600;175,900;0,40723;5;77,259;-2,29552776
2002-07-01;180,800;92,0000000;2,04112860;2,21752560;123,700;176,500;0,4083;5;77,852;1,474169189
2002-10-01;181,800;92,3000000;1,95115790;2,32740910;127,100;177,100;0,39903;5;77,749;-0,567563594
2003-01-01;183,900;93,3000000;1,90334300;2,07838640;143,900;178,400;0,37973;5;78,509;-1,720307089
2003-04-01;183,100;93,8000000;2,28473060;1,97881420;129,800;179,700;0,36161;5;79,546;2,078053531
2003-07-01;185,100;94,7000000;1,98049440;2,39661640;142,900;180,900;0,34524;5;81,297;-0,574273659
2003-10-01;185,500;95,2000000;2,22345640;2,36537930;138,800;183,500;0,39192;5;82,063;-1,187075735
2004-01-01;187,100;95,7000000;1,70428390;2,17168560;145,100;184,200;0,41877;5;81,823;-2,289114325
2004-04-01;188,900;96,4000000;2,57407780;2,56736820;151,500;186,400;0,428;5;82,68;1,764998475
2004-07-01;189,800;97,2000000;2,67677080;2,35586560;152,900;186,900;0,46464;5;83,067;0,183300316
2004-10-01;191,700;97,7000000;1,75252860;2,34694220;162,300;188,400;0,48017;8;83,428;-0,554345124
2005-01-01;193,100;98,3000000;2,33424180;2,47490400;163,500;189,100;0,50266;5;84,324;-2,051725532
2005-04-01;193,700;98,8000000;2,36190110;2,29496120;163,700;190,500;0,52602;5;84,252;-1,518459776
2005-07-01;198,800;99,4000000;2,35381360;2,35365650;208,200;191,500;0,57165;8;84,826;0,902187957
2005-10-01;198,100;100,1000000;3,22717250;2,57025120;187,600;192,900;0,57019;5;84,831;-0,32015421
2006-01-01;199,700;100,8000000;1,76861200;2,47412540;192,000;194,000;0,63105;4;85,417;-1,86509804
2006-04-01;201,800;101,6000000;2,74475530;2,66582870;199,800;194,700;0,65717;4;85,323;-0,333819903
2006-07-01;202,800;102,5000000;2,65130280;2,51748030;198,100;196,300;0,65557;4;85,156;1,710519954
2006-10-01;203,100;103,3000000;1,98915280;2,34679560;192,700;197,100;0,68052;4;85,708;0,847023221
2007-01-01;205,288;104,3000000;2,79766020;2,45944150;200,206;200,432;0,69433;4;86,015;-1,38871117
2007-04-01;207,234;105,1000000;3,21461500;2,67181960;209,799;202,557;0,68973;4;86,274;0,349065272
2007-07-01;208,547;105,9000000;2,57404810;2,41152170;210,742;205,003;0,64509;4;87,029;1,915557256
2007-10-01;211,445;106,7000000;2,54377580;2,14704270;225,649;206,874;0,62503;6;87,715;0,392625024
2008-01-01;213,448;107,6000000;1,93367630;1,94129780;233,349;209,324;0,57068;5;87,137;-1,924180479
2008-04-01;217,463;108,4000000;2,72851150;2,30346550;262,081;213,333;0,49006;7;88,159;-2,009173107
2008-07-01;218,877;109,0000000;2,73092520;2,20969560;260,125;217,768;0,38197;8;88,373;-1,214878038
2008-10-01;211,398;109,5000000;0,28299557;1,58069810;176,583;219,073;0,30579;5;87,9;-4,988149699
2009-01-01;212,495;109,8000000;-0,48067803;1,63276550;178,415;218,510;0,21197;5;88,902;-7,861469782
2009-04-01;214,790;110,1000000;1,27451190;2,00732660;197,033;217,813;0,17063;5;90,943;-4,618281767
2009-07-01;215,861;110,5000000;2,36081090;2,06881710;202,777;217,258;0,15886;4;92,391;-5,175646116
2009-10-01;217,347;111,0000000;1,78660370;1,90640850;209,915;217,904;0,16372;5;93,643;-6,41394009
